SCHEMBL_ID	InChIKey	PUBCHEM_CID	CHEMBL_ID
SCHEMBL1410	CFMZSMGAMPBRBE-UHFFFAOYSA-N	10665	CHEMBL276057
SCHEMBL1420	RVOJTCZRIKWHDX-UHFFFAOYSA-N	75938	
SCHEMBL1433	PVNIIMVLHYAWGP-UHFFFAOYSA-N	938	CHEMBL573
SCHEMBL1459	WLJVXDMOQOGPHL-UHFFFAOYSA-N	999	CHEMBL1044
SCHEMBL1468	PSAYJRPASWETSH-UHFFFAOYSA-N	135034	
SCHEMBL1482	KQKPFRSPSRPDEB-UHFFFAOYSA-N	5358	CHEMBL128
SCHEMBL1483	XCGSFFUVFURLIX-VFGNJEKYSA-N	8223	CHEMBL442
SCHEMBL1486	GQONLASZRVFGHI-UHFFFAOYSA-M	nan	
SCHEMBL1487	XJCVRTZCHMZPBD-UHFFFAOYSA-N	7423	CHEMBL14068
SCHEMBL1492	IZUPBVBPLAPZRR-UHFFFAOYSA-N	992	CHEMBL75967
SCHEMBL1493	VMZCDNSFRSVYKQ-UHFFFAOYSA-N	7679	
SCHEMBL1495	QZAYGJVTTNCVMB-UHFFFAOYSA-N	5202	CHEMBL39
SCHEMBL1500	YLYBTZIQSIBWLI-UHFFFAOYSA-N	8164	CHEMBL2228456
SCHEMBL1506	SEACYXSIPDVVMV-UHFFFAOYSA-L	11048	CHEMBL411675
SCHEMBL1510	KCCISTCYYRKGFF-UHFFFAOYSA-N	53216840	
SCHEMBL1515	XCWPUUGSGHNIDZ-UHFFFAOYSA-N	4640	CHEMBL2107011
SCHEMBL1542	QARVLSVVCXYDNA-UHFFFAOYSA-N	7961	CHEMBL16068
SCHEMBL1548	WRGQSWVCFNIUNZ-KTKRTIGZSA-N	5497152	CHEMBL1222042
SCHEMBL1551	CRRUGYDDEMGVDY-UHFFFAOYSA-N	11454	
SCHEMBL1552	WMPPDTMATNBGJN-UHFFFAOYSA-N	7666	CHEMBL1340745
SCHEMBL1556	KVBGVZZKJNLNJU-UHFFFAOYSA-N	8420	CHEMBL1234624
SCHEMBL1585	TVQGDYNRXLTQAP-UHFFFAOYSA-N	7797	CHEMBL3184220
SCHEMBL1586	YYROPELSRYBVMQ-UHFFFAOYSA-N	7397	
SCHEMBL1587	SNHMUERNLJLMHN-UHFFFAOYSA-N	11575	CHEMBL116296
SCHEMBL1599	OYVAGSVQBOHSSS-YRSNYMMHSA-O	57417070	
SCHEMBL1622	AITNMTXHTIIIBB-UHFFFAOYSA-N	9993	CHEMBL1876826
SCHEMBL1641	XEEGWTLAFIZLSF-UHFFFAOYSA-N	821218	
SCHEMBL1647	WSWCOQWTEOXDQX-MQQKCMAXSA-N	643460	CHEMBL250212
SCHEMBL1649	CZKLEJHVLCMVQR-UHFFFAOYSA-N	67879	
SCHEMBL1654	BWLUMTFWVZZZND-UHFFFAOYSA-N	7656	CHEMBL3182419
SCHEMBL1655	KKEYFWRCBNTPAC-UHFFFAOYSA-N	7489	CHEMBL1374420
SCHEMBL1667	ASUOLLHGALPRFK-UHFFFAOYSA-N	254003	
SCHEMBL1675	PQSUYGKTWSAVDQ-ZVIOFETBSA-N	5839	CHEMBL273453
SCHEMBL1697	PUJDIJCNWFYVJX-UHFFFAOYSA-N	12136	CHEMBL2259788
SCHEMBL1699	WEGYGNROSJDEIW-UHFFFAOYSA-N	9589	CHEMBL3187172
SCHEMBL1712	ZMRFRBHYXOQLDK-UHFFFAOYSA-N	78126	
SCHEMBL1715	OFJWFSNDPCAWDK-UHFFFAOYSA-N	7012	CHEMBL1616045
SCHEMBL1716	OBKXEAXTFZPCHS-UHFFFAOYSA-N	4775	CHEMBL1469
SCHEMBL1745	YOETUEMZNOLGDB-UHFFFAOYSA-N	62365	
SCHEMBL1746	JGFZNNIVVJXRND-UHFFFAOYSA-N	81531	
SCHEMBL1747	WZUVPPKBWHMQCE-CJNGLKHVSA-N	320930	CHEMBL1448387
SCHEMBL1748	LBLYYCQCTBFVLH-UHFFFAOYSA-N	6925	CHEMBL3306053
SCHEMBL1749	NIXKBAZVOQAHGC-UHFFFAOYSA-N	7532	CHEMBL1171433
SCHEMBL1771	MARXMDRWROUXMD-UHFFFAOYSA-N	75542	
SCHEMBL1783	PKHMTIRCAFTBDS-UHFFFAOYSA-N	74918	
SCHEMBL1790	ODKSFYDXXFIFQN-UHFFFAOYSA-N	232	
SCHEMBL1797	PSLIMVZEAPALCD-UHFFFAOYSA-N	21585056	
SCHEMBL1798	PKRSYEPBQPFNRB-UHFFFAOYSA-N	75237	CHEMBL2219842
SCHEMBL1808	XNGIFLGASWRNHJ-UHFFFAOYSA-N	1017	CHEMBL1045
SCHEMBL1812	GZCGUPFRVQAUEE-UHFFFAOYSA-N	24749	CHEMBL1206211
SCHEMBL1813	QIQITDHWZYEEPA-UHFFFAOYSA-N	78928	
SCHEMBL1815	XWAIAVWHZJNZQQ-UHFFFAOYSA-N	5741	CHEMBL1678
SCHEMBL1816	XCRBXWCUXJNEFX-UHFFFAOYSA-N	523077	
SCHEMBL1838	WRMNZCZEMHIOCP-UHFFFAOYSA-N	6054	CHEMBL448500
SCHEMBL1839	BTJIUGUIPKRLHP-UHFFFAOYSA-N	980	CHEMBL14130
SCHEMBL1877	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	8103	CHEMBL14085
SCHEMBL1890	FBZVZUSVGKOWHG-UHFFFAOYSA-N	87835	
SCHEMBL1891	JRMUNVKIHCOMHV-UHFFFAOYSA-M	74236	CHEMBL60696
SCHEMBL1895	BNRNXUUZRGQAQC-UHFFFAOYSA-N	5212	
SCHEMBL1910	CFOAUYCPAUGDFF-UHFFFAOYSA-N	161915	
SCHEMBL1914	HPZMWTNATZPBIH-UHFFFAOYSA-N	78821	
SCHEMBL1919	AVPYQKSLYISFPO-UHFFFAOYSA-N	7726	CHEMBL1474
SCHEMBL1922	VAJVDSVGBWFCLW-UHFFFAOYSA-N	31234	CHEMBL1606391
SCHEMBL1935	HCUARRIEZVDMPT-UHFFFAOYSA-N	72899	CHEMBL278390
SCHEMBL1961	ZCSHNCUQKCANBX-UHFFFAOYSA-N	2724682	
SCHEMBL1967	YGSDEFSMJLZEOE-UHFFFAOYSA-N	338	CHEMBL424
SCHEMBL2020	UAOMVDZJSHZZME-UHFFFAOYSA-N	7912	CHEMBL1450356
SCHEMBL2021	ULSIYEODSMZIPX-UHFFFAOYSA-N	1000	CHEMBL19216
SCHEMBL2028	OKQHSIGMOWQUIK-UHFFFAOYSA-N	55256	CHEMBL2106725
SCHEMBL2041	ACFIXJIJDZMPPO-NNYOXOHSSA-N	5884	CHEMBL407009
SCHEMBL2044	MVPPADPHJFYWMZ-UHFFFAOYSA-N	7964	CHEMBL16200
SCHEMBL2077	BBMCTIGTTCKYKF-UHFFFAOYSA-N	8129	CHEMBL273459
SCHEMBL2121	RNISDHSYKZAWOK-UHFFFAOYSA-N	66449	CHEMBL1255790
SCHEMBL2128	RSDOPYMFZBJHRL-UHFFFAOYSA-N	4630	CHEMBL7634
SCHEMBL2138	ICLWTJIMXVISSR-UHFFFAOYSA-N	67425	
SCHEMBL2139	RBQIPEJXQPQFJX-UHFFFAOYSA-N	69256	
SCHEMBL2146	HVAAHUDGWQAAOJ-UHFFFAOYSA-N	84352	CHEMBL1178178
SCHEMBL2149	ADEBPBSSDYVVLD-UHFFFAOYSA-N	3152	CHEMBL502
SCHEMBL2164	WAPNOHKVXSQRPX-UHFFFAOYSA-N	7409	CHEMBL508917
SCHEMBL2165	WAPNOHKVXSQRPX-SSDOTTSWSA-N	637516	CHEMBL151062
SCHEMBL2193	MBBZMMPHUWSWHV-BDVNFPICSA-N	8567	CHEMBL1200570
SCHEMBL2248	SYTBZMRGLBWNTM-UHFFFAOYSA-N	3394	CHEMBL563
SCHEMBL2255	WVLOADHCBXTIJK-YNHQPCIGSA-N	5284570	CHEMBL398707
SCHEMBL2256	BLXXJMDCKKHMKV-UHFFFAOYSA-N	4409	CHEMBL1070
SCHEMBL2262	WUBBRNOQWQTFEX-UHFFFAOYSA-N	4649	CHEMBL1169
SCHEMBL2271	RIWRFSMVIUAEBX-UHFFFAOYSA-N	7669	CHEMBL1338
SCHEMBL2274	MNJKVJAYSVAQLU-SMSJZTMCSA-N	57206935	
SCHEMBL2275	NIJJYAXOARWZEE-UHFFFAOYSA-N	3121	CHEMBL109
SCHEMBL2294	MKXBOPXRKXGSTI-PJKMHFRUSA-N	66577443	
SCHEMBL2313	DSBIJCMXAIKKKI-UHFFFAOYSA-N	7444	CHEMBL324642
SCHEMBL2320	HJYYPODYNSCCOU-WURVRSKISA-N	5282048	
SCHEMBL2329	ACWBQPMHZXGDFX-UHFFFAOYSA-N	5650	CHEMBL1904197
SCHEMBL2356	KNHUKKLJHYUCFP-UHFFFAOYSA-N	2796	CHEMBL565
SCHEMBL2361	SDOFMBGMRVAJNF-SLPGGIOYSA-N	452501	
SCHEMBL2371	CJZGTCYPCWQAJB-UHFFFAOYSA-L	15324	CHEMBL2106092
